OTU	ASVs
OTU244	ASV364, ASV791, ASV1016, ASV1033, ASV1813, ASV1919, ASV2046, ASV2254, ASV2906, ASV3117, ASV3718, ASV4084, ASV4204, ASV4277, ASV4549, ASV5523, ASV5730, ASV5932, ASV6319, ASV8206, ASV8904
OTU245	ASV365, ASV6293, ASV9478
OTU246	ASV367
OTU247	ASV369
OTU248	ASV370, ASV695, ASV1013, ASV1130, ASV1174, ASV5934
OTU249	ASV372, ASV6433
OTU250	ASV373
OTU251	ASV374, ASV2341, ASV2850, ASV3093, ASV6570, ASV7800, ASV10921
OTU252	ASV375, ASV513, ASV824, ASV849, ASV946, ASV1057, ASV1250, ASV1551, ASV1904, ASV1971, ASV1988, ASV2072, ASV2445, ASV5917, ASV8688
OTU253	ASV376, ASV686, ASV5792
OTU254	ASV382
OTU255	ASV383, ASV3680
OTU256	ASV384, ASV985, ASV1746, ASV2930, ASV3652
OTU257	ASV385
OTU258	ASV388, ASV3039, ASV10831, ASV11170
OTU259	ASV389, ASV10704
OTU260	ASV391, ASV507, ASV4244, ASV7705, ASV9452
OTU261	ASV392, ASV405, ASV667, ASV4515, ASV5341, ASV6137, ASV7566, ASV8581, ASV8686, ASV9631, ASV11304
OTU262	ASV40, ASV393, ASV703, ASV1340, ASV1532, ASV2103, ASV2350, ASV2370, ASV2392, ASV2786, ASV3677, ASV8723
OTU263	ASV394, ASV1870
OTU264	ASV396, ASV1311
OTU265	ASV398
OTU266	ASV400
OTU267	ASV402
OTU268	ASV404, ASV7124
OTU269	ASV406, ASV4957
OTU270	ASV407, ASV3346, ASV4059, ASV7268, ASV8178
OTU271	ASV408, ASV508, ASV746, ASV757, ASV1198, ASV1372, ASV1886, ASV1989, ASV2354, ASV2955, ASV4588, ASV4851, ASV5402, ASV6234, ASV9065, ASV11211, ASV11649
OTU272	ASV409, ASV442
OTU273	ASV411, ASV9653
OTU274	ASV412
OTU275	ASV415, ASV3800, ASV5280, ASV8753
OTU276	ASV416, ASV493, ASV518, ASV1015, ASV1142, ASV1676, ASV1756, ASV1952, ASV3448, ASV8944
OTU277	ASV418, ASV903, ASV1176, ASV3307, ASV5971, ASV7805
OTU278	ASV420
OTU279	ASV421, ASV1452, ASV1769
OTU280	ASV422, ASV1168, ASV2973, ASV4193, ASV4777, ASV8135, ASV8579, ASV8806
OTU281	ASV426, ASV2762, ASV11988
OTU282	ASV427, ASV4637, ASV7209, ASV8456, ASV10742
OTU283	ASV229, ASV428, ASV2340, ASV4680, ASV4891, ASV7404
OTU284	ASV430, ASV8905
OTU285	ASV431
OTU286	ASV432, ASV713, ASV771, ASV2595, ASV4180, ASV4671, ASV6082, ASV6856, ASV10379
OTU287	ASV435, ASV8800
OTU288	ASV436, ASV4726, ASV6094, ASV10647
OTU289	ASV438
OTU290	ASV439, ASV3803
OTU291	ASV443, ASV2200, ASV8618, ASV9651
OTU292	ASV444, ASV934, ASV955, ASV1428, ASV1514, ASV2831, ASV4082, ASV5166, ASV6479, ASV6866
OTU293	ASV445
OTU294	ASV446, ASV1568, ASV2191, ASV4430, ASV8401
OTU295	ASV448, ASV1356, ASV3636
OTU296	ASV450, ASV988, ASV2733, ASV4137, ASV5967, ASV6931, ASV8437, ASV8532, ASV9618, ASV10166
OTU297	ASV451, ASV461, ASV2747, ASV3321, ASV9414
OTU298	ASV452
OTU299	ASV455
OTU300	ASV456
OTU301	ASV457, ASV8773
OTU302	ASV458
OTU303	ASV459, ASV3550, ASV5533, ASV8978
OTU304	ASV460, ASV905, ASV1521, ASV2319, ASV5423, ASV7356, ASV7711, ASV7870
OTU305	ASV462, ASV798, ASV1002, ASV1842, ASV2273, ASV4183, ASV5454, ASV5976
OTU306	ASV465, ASV2127, ASV4308
OTU307	ASV466, ASV2749
OTU308	ASV469, ASV2275, ASV10113, ASV10922
OTU309	ASV470, ASV11566
OTU310	ASV472, ASV1098
OTU311	ASV473, ASV572, ASV1073
OTU312	ASV474, ASV1587, ASV2671, ASV2861, ASV3995, ASV6367
OTU313	ASV475, ASV4512, ASV6009, ASV11726
OTU314	ASV478, ASV2267, ASV3700, ASV4380, ASV5788, ASV6008, ASV6248, ASV7150, ASV7816, ASV8687, ASV8745, ASV8789, ASV10534, ASV10594
OTU315	ASV479, ASV648, ASV741, ASV1929, ASV1933, ASV2268, ASV3312, ASV5229, ASV5253, ASV6310, ASV8954, ASV9359
OTU316	ASV481, ASV2049, ASV4378, ASV6767, ASV8230, ASV8919
OTU317	ASV482, ASV852, ASV4185
OTU318	ASV483, ASV8441
OTU319	ASV484
OTU320	ASV485, ASV10686
OTU321	ASV486, ASV3389, ASV3708, ASV4615
OTU322	ASV488, ASV510, ASV4216, ASV6883, ASV7472
OTU323	ASV489, ASV1520, ASV1819, ASV1934, ASV3078, ASV3393, ASV4070, ASV4703, ASV5527
OTU324	ASV490, ASV2758, ASV4140, ASV9129
OTU325	ASV495, ASV1379, ASV3267, ASV7940
OTU326	ASV496, ASV1948, ASV5023, ASV8321, ASV8708, ASV8748, ASV9830
OTU327	ASV497, ASV608, ASV731, ASV3330, ASV5707, ASV7733
OTU328	ASV499, ASV670
OTU329	ASV501
OTU330	ASV502
OTU331	ASV503, ASV814, ASV2026, ASV2123, ASV4280, ASV5717, ASV7024, ASV7245, ASV8677, ASV10546, ASV10570
OTU332	ASV504, ASV5174
OTU333	ASV505
OTU334	ASV506, ASV8555
OTU335	ASV509, ASV2097, ASV2201, ASV2780, ASV3085, ASV3140, ASV3694
OTU336	ASV511, ASV1648
OTU337	ASV514, ASV754, ASV855, ASV3794, ASV5924, ASV7701, ASV8011
OTU338	ASV515, ASV3859, ASV4496, ASV4803, ASV6607, ASV8328, ASV9297, ASV10473, ASV11114
OTU339	ASV517, ASV4219, ASV6791
OTU340	ASV519, ASV2760, ASV4653, ASV5097, ASV5289, ASV6116, ASV6656, ASV8159, ASV8248
OTU341	ASV520, ASV4655, ASV7755, ASV10471
OTU342	ASV522, ASV3874, ASV6092, ASV8241, ASV11154
OTU343	ASV523, ASV1993, ASV2318
OTU344	ASV524, ASV4336, ASV6908, ASV7195, ASV7609, ASV9866
OTU345	ASV527, ASV559, ASV835, ASV995, ASV1008, ASV1658, ASV1871, ASV2887, ASV3646, ASV4187, ASV4534, ASV5778, ASV6204, ASV6602, ASV6845, ASV8138, ASV10956
OTU346	ASV529, ASV1771, ASV6397, ASV7764
OTU347	ASV530, ASV1255, ASV3134, ASV6372
OTU348	ASV531, ASV2897, ASV4692, ASV6516, ASV7815, ASV10339
OTU349	ASV532, ASV5783
OTU350	ASV533
OTU351	ASV534, ASV737, ASV1861, ASV3733, ASV5446, ASV5959
OTU352	ASV536, ASV2343, ASV8294, ASV9492, ASV10205
OTU353	ASV537, ASV10344
OTU354	ASV543, ASV5731, ASV6814, ASV11350
OTU355	ASV544, ASV7069, ASV11179
OTU356	ASV545, ASV1760, ASV2866, ASV6315
OTU357	ASV546, ASV2728, ASV9609
OTU358	ASV547, ASV2954, ASV5600, ASV6959, ASV9438, ASV9944, ASV10409
OTU359	ASV550, ASV1913, ASV3781, ASV4451, ASV11338
OTU360	ASV552
OTU361	ASV554
OTU362	ASV556, ASV1488
OTU363	ASV557, ASV5007, ASV7335
OTU364	ASV561
OTU365	ASV563
OTU366	ASV564, ASV1657, ASV2115, ASV3394, ASV8666, ASV8955, ASV9343
OTU367	ASV565, ASV6536
OTU368	ASV567, ASV583, ASV812, ASV1953, ASV4433, ASV5460, ASV7454, ASV7848, ASV7881, ASV7914, ASV9005
OTU369	ASV569, ASV5737, ASV10357, ASV11913
OTU370	ASV571, ASV3922, ASV8085
OTU371	ASV577
OTU372	ASV581, ASV6836, ASV9232
OTU373	ASV582, ASV4203, ASV7866, ASV9262, ASV9333
OTU374	ASV585, ASV1384, ASV4877, ASV6177, ASV6815, ASV7229, ASV8099, ASV8137, ASV11826
OTU375	ASV586
OTU376	ASV589, ASV945, ASV1782
OTU377	ASV592, ASV827, ASV5301, ASV9389, ASV10109, ASV11395
OTU378	ASV594, ASV8516, ASV8649, ASV11515
OTU379	ASV595, ASV6256, ASV7305
OTU380	ASV596, ASV858, ASV874, ASV1547, ASV2237, ASV4951, ASV7929, ASV8607
OTU381	ASV597, ASV4491, ASV5708, ASV6228, ASV6799
OTU382	ASV601
OTU383	ASV602, ASV3938, ASV5896
OTU384	ASV603, ASV3465, ASV9179
OTU385	ASV605, ASV1131
OTU386	ASV606, ASV8263
OTU387	ASV607, ASV3033, ASV4828, ASV7215, ASV10288, ASV11595
OTU388	ASV609, ASV8161, ASV9102
OTU389	ASV611, ASV1463, ASV4445, ASV5258, ASV7037
OTU390	ASV612, ASV1665, ASV2225, ASV3072, ASV9248, ASV11461
OTU391	ASV613
OTU392	ASV614
OTU393	ASV615, ASV5457
OTU394	ASV617, ASV5128
OTU395	ASV618
OTU396	ASV621, ASV1595, ASV4610, ASV8736
OTU397	ASV622, ASV1479, ASV1482, ASV5958, ASV11275
OTU398	ASV623
OTU399	ASV624
OTU400	ASV625
OTU401	ASV629, ASV5304, ASV5353
OTU402	ASV631, ASV2737, ASV5078, ASV10447, ASV11363
OTU403	ASV632
OTU404	ASV634, ASV1716
OTU405	ASV635
OTU406	ASV636, ASV1220, ASV1337, ASV1853, ASV1945, ASV2555, ASV2621, ASV2738, ASV2976, ASV3375, ASV3402, ASV3888, ASV4016, ASV4506, ASV5406, ASV5864, ASV5933, ASV7183, ASV7365, ASV7430, ASV7529, ASV7633, ASV7798, ASV8705, ASV9067, ASV10305
OTU407	ASV637, ASV4194, ASV4871, ASV6649, ASV9113, ASV10428, ASV11344
OTU408	ASV638, ASV1620, ASV1787, ASV3756, ASV3774, ASV4429, ASV5337, ASV7045, ASV7179, ASV7345, ASV9479, ASV11577, ASV11921
OTU409	ASV642, ASV982, ASV1014, ASV1748, ASV3660, ASV4632, ASV5132, ASV5169, ASV5312, ASV6688, ASV8744, ASV9399, ASV9432, ASV10496, ASV11040, ASV11390, ASV11897
OTU410	ASV643, ASV918, ASV1655, ASV2438, ASV3106, ASV4133, ASV6330, ASV6766, ASV6833, ASV7557, ASV8388, ASV9628, ASV10092, ASV10297
OTU411	ASV646, ASV1204, ASV1385, ASV1645, ASV1977, ASV2008, ASV2440, ASV5746, ASV9839, ASV9865, ASV11821
OTU412	ASV647, ASV1640, ASV9454
OTU413	ASV650, ASV4042, ASV4795, ASV6539, ASV10553
OTU414	ASV651
OTU415	ASV654, ASV6404, ASV10319
OTU416	ASV655, ASV744, ASV1178, ASV4306, ASV10877
OTU417	ASV658, ASV2549, ASV5754, ASV9185, ASV11162, ASV11209
OTU418	ASV659, ASV1338, ASV1542, ASV1967, ASV3298, ASV4063, ASV4147, ASV4260, ASV4350, ASV4728, ASV5631, ASV6907, ASV9277, ASV10526, ASV10964, ASV11109, ASV11380
OTU419	ASV662, ASV893, ASV3046
OTU420	ASV663, ASV1120, ASV1184, ASV3035, ASV3483, ASV4558, ASV5673
OTU421	ASV665, ASV6176, ASV7039, ASV11640
OTU422	ASV666, ASV1498, ASV1963, ASV5619, ASV7536
OTU423	ASV668, ASV2196, ASV2220, ASV3104
OTU424	ASV669
OTU425	ASV671
OTU426	ASV672, ASV2952, ASV3778, ASV7281, ASV8201, ASV9063
OTU427	ASV673
OTU428	ASV674, ASV1812, ASV2356, ASV3845, ASV3891, ASV4833, ASV4928, ASV6600, ASV10120
OTU429	ASV675
OTU430	ASV678, ASV2263
OTU431	ASV679
OTU432	ASV680, ASV1244, ASV3089, ASV3645, ASV4394, ASV7103, ASV7165
OTU433	ASV681, ASV6408, ASV7387, ASV10838, ASV11219, ASV12021
OTU434	ASV682
OTU435	ASV684, ASV1266, ASV1280, ASV4176, ASV5840, ASV10535
OTU436	ASV685, ASV1429, ASV2020, ASV4808, ASV5810, ASV6287
OTU437	ASV687, ASV702, ASV1309, ASV1359, ASV1512, ASV2957
OTU438	ASV691, ASV7924, ASV8691, ASV10304, ASV10348
OTU439	ASV692, ASV10439
OTU440	ASV696, ASV2048, ASV9554
OTU441	ASV698
OTU442	ASV700, ASV764, ASV1786, ASV2522, ASV4190, ASV6368
OTU443	ASV701, ASV2751, ASV5377, ASV6338, ASV7862, ASV9598, ASV10538
OTU444	ASV704
OTU445	ASV706
OTU446	ASV708
OTU447	ASV709, ASV1552, ASV7326, ASV10110
OTU448	ASV711, ASV717, ASV861, ASV1499, ASV2790, ASV2875, ASV2908, ASV2999, ASV3044, ASV3183, ASV7126, ASV10449
OTU449	ASV712, ASV1025, ASV1594, ASV7072, ASV11035, ASV11780
OTU450	ASV715, ASV1858, ASV4559, ASV4601, ASV5587
OTU451	ASV718, ASV2147
OTU452	ASV719, ASV1264, ASV11112
OTU453	ASV720, ASV3835, ASV5173
OTU454	ASV722, ASV3110
OTU455	ASV728, ASV6644, ASV11134
OTU456	ASV729, ASV2546
OTU457	ASV733
OTU458	ASV740, ASV3114, ASV7445
OTU459	ASV742
OTU460	ASV745, ASV2175, ASV2479, ASV3194, ASV4927, ASV6233, ASV6298, ASV7423, ASV8722
OTU461	ASV749
OTU462	ASV750, ASV1232, ASV1714, ASV10490
OTU463	ASV751, ASV1067, ASV3915, ASV4293, ASV5807, ASV5897, ASV6524, ASV10165
OTU464	ASV753, ASV1459, ASV3691, ASV4150, ASV5965, ASV6531, ASV6982, ASV7814, ASV8184, ASV8320, ASV8454, ASV8537, ASV8831
OTU465	ASV755, ASV913, ASV1905, ASV2258, ASV3855, ASV6135, ASV6476, ASV7433, ASV8301, ASV8426, ASV8950, ASV9994
OTU466	ASV758, ASV1955, ASV4965, ASV5964, ASV7468, ASV9164, ASV9272, ASV10001
OTU467	ASV759, ASV1814, ASV3622, ASV6045, ASV6130, ASV7906, ASV10003
OTU468	ASV760
OTU469	ASV762
OTU470	ASV763
OTU471	ASV766
OTU472	ASV768
OTU473	ASV769, ASV3016, ASV3213
OTU474	ASV770
OTU475	ASV773
OTU476	ASV774, ASV1024
OTU477	ASV775, ASV5940, ASV6076, ASV8288
OTU478	ASV776, ASV5367, ASV9044, ASV9986
OTU479	ASV777
OTU480	ASV778, ASV800, ASV920, ASV1193, ASV1478, ASV1608, ASV2235, ASV2956, ASV3167, ASV3227, ASV5073, ASV5545, ASV6485, ASV6726, ASV8123, ASV8557, ASV10674, ASV10903
OTU481	ASV779, ASV7416
OTU482	ASV780, ASV4006, ASV4078, ASV4136, ASV4581, ASV4739, ASV8102, ASV10334
OTU483	ASV781, ASV1793, ASV4499, ASV4714
OTU484	ASV782, ASV2077, ASV4586, ASV5095, ASV5601, ASV11265
OTU485	ASV786
OTU486	ASV787
OTU487	ASV788, ASV3842
OTU488	ASV789, ASV7250, ASV10281
OTU489	ASV793, ASV1050, ASV1062, ASV1211, ASV1326, ASV1468, ASV1576, ASV1936, ASV2661, ASV4760, ASV5027, ASV5385, ASV6218, ASV6411, ASV6716, ASV7357, ASV8446, ASV8993, ASV10966, ASV11883
OTU490	ASV794, ASV1631, ASV2185, ASV3391, ASV4284, ASV5921
OTU491	ASV795, ASV1099, ASV1475, ASV10687, ASV11284
OTU492	ASV796
OTU493	ASV799, ASV8541
OTU494	ASV801
OTU495	ASV803
OTU496	ASV807, ASV6944, ASV8268, ASV9125
OTU497	ASV808, ASV956, ASV2204, ASV2899, ASV4984, ASV5858, ASV6327
OTU498	ASV816
OTU499	ASV817, ASV3170
OTU500	ASV818, ASV1914, ASV12001
OTU501	ASV819
OTU502	ASV821, ASV7710, ASV8186, ASV8676
OTU503	ASV822, ASV5011, ASV5721, ASV5824, ASV7828
OTU504	ASV823, ASV5846, ASV5876, ASV5962
OTU505	ASV825, ASV9392
OTU506	ASV828
OTU507	ASV829, ASV4863, ASV11996
OTU508	ASV830
OTU509	ASV832, ASV2672
OTU510	ASV833
OTU511	ASV834, ASV5439, ASV10878, ASV11270
OTU512	ASV839
OTU513	ASV841, ASV1921, ASV7871
OTU514	ASV842
OTU515	ASV848
OTU516	ASV850, ASV4664
OTU517	ASV853, ASV1058, ASV1083, ASV10712
OTU518	ASV854, ASV1199, ASV7869, ASV11023
OTU519	ASV856
OTU520	ASV860
OTU521	ASV862
OTU522	ASV863, ASV1036, ASV1160, ASV1188, ASV1321, ASV1727, ASV2369, ASV3205, ASV3826, ASV4013, ASV6897, ASV7057, ASV8232, ASV8765, ASV10636, ASV11687, ASV11749
OTU523	ASV866, ASV8529
OTU524	ASV868, ASV11101
OTU525	ASV873
OTU526	ASV875, ASV8217, ASV9222, ASV10516
OTU527	ASV877
OTU528	ASV878
OTU529	ASV880, ASV5931
OTU530	ASV882, ASV917
OTU531	ASV883
OTU532	ASV886
OTU533	ASV887, ASV1580, ASV3416, ASV7005, ASV7880
OTU534	ASV889
OTU535	ASV891, ASV1148, ASV1391, ASV3412, ASV5616, ASV5952
OTU536	ASV892, ASV5765, ASV6629, ASV7096
OTU537	ASV895
OTU538	ASV897, ASV5310
OTU539	ASV898, ASV7958
OTU540	ASV899, ASV953, ASV1413, ASV1528, ASV1848, ASV2368, ASV2854, ASV2864, ASV3489, ASV3499, ASV3580, ASV4747, ASV4954, ASV5739, ASV6373, ASV6776, ASV7287, ASV8158, ASV11550
OTU541	ASV906
OTU542	ASV907
OTU543	ASV909
OTU544	ASV910, ASV9777
OTU545	ASV914, ASV4304, ASV10074, ASV11479
OTU546	ASV916, ASV3365, ASV3508, ASV4709, ASV6635, ASV7762
OTU547	ASV919, ASV3224, ASV3397, ASV5370, ASV5919, ASV6374, ASV8660, ASV10705
OTU548	ASV922, ASV3409, ASV4639
OTU549	ASV925, ASV3398
OTU550	ASV929, ASV9176
OTU551	ASV932
OTU552	ASV937, ASV5101
OTU553	ASV939, ASV2978, ASV7502, ASV7946, ASV8670
OTU554	ASV940
OTU555	ASV941, ASV3773
OTU556	ASV943
OTU557	ASV947, ASV6466, ASV7930, ASV10180
OTU558	ASV948, ASV3201, ASV4998, ASV6910
OTU559	ASV949, ASV6556
OTU560	ASV950, ASV7738, ASV10487, ASV11635
OTU561	ASV952, ASV2453
OTU562	ASV954
OTU563	ASV960
OTU564	ASV962, ASV8365, ASV10676, ASV11173
OTU565	ASV965
OTU566	ASV966, ASV10011
OTU567	ASV968
OTU568	ASV969
OTU569	ASV970
OTU570	ASV973, ASV3830, ASV4854, ASV6945
OTU571	ASV974
OTU572	ASV975
OTU573	ASV976
OTU574	ASV977, ASV1434, ASV6133, ASV6284, ASV6933, ASV9513, ASV10754, ASV11038
OTU575	ASV978, ASV6991, ASV9906
OTU576	ASV979
OTU577	ASV981, ASV3208, ASV4058
OTU578	ASV983, ASV5832, ASV8323
OTU579	ASV987, ASV9313
OTU580	ASV989, ASV3344, ASV3388, ASV5918, ASV11033
OTU581	ASV992
OTU582	ASV993, ASV7663
OTU583	ASV996, ASV1070, ASV6112, ASV7213
OTU584	ASV997
OTU585	ASV999, ASV1406, ASV3480, ASV6797, ASV10261
OTU586	ASV1000, ASV7443
OTU587	ASV1001
OTU588	ASV1003, ASV5064, ASV9268
OTU589	ASV1004
OTU590	ASV1005
OTU591	ASV1007, ASV2382, ASV3453, ASV4047, ASV11561
OTU592	ASV1009, ASV3357, ASV6938
OTU593	ASV1011
OTU594	ASV1018, ASV1064
OTU595	ASV1020, ASV1252, ASV1487, ASV1725, ASV2221, ASV2292, ASV2858, ASV3141, ASV3371, ASV3934, ASV3973, ASV5047, ASV5082, ASV5499, ASV5725, ASV7941, ASV8827, ASV11915
OTU596	ASV1022, ASV7942
OTU597	ASV1023, ASV1333, ASV1446, ASV3171, ASV4631, ASV4956, ASV8370
OTU598	ASV1031, ASV7765, ASV8790, ASV10839
OTU599	ASV1032
OTU600	ASV1034
OTU601	ASV1035
OTU602	ASV1037
OTU603	ASV1038
OTU604	ASV1039, ASV1084, ASV1557, ASV1639, ASV2637, ASV2935, ASV2944, ASV2975, ASV3163, ASV4144, ASV4227, ASV4257, ASV4625, ASV5146, ASV5510, ASV5980, ASV6013, ASV6219, ASV6499, ASV6611, ASV6658, ASV6786, ASV6885, ASV6950, ASV7266, ASV7476, ASV8036, ASV8295, ASV8859, ASV9620
OTU605	ASV1040, ASV3058, ASV10681
OTU606	ASV1042, ASV5569, ASV6225, ASV8047
OTU607	ASV1043, ASV4521, ASV8054, ASV9447
OTU608	ASV1044
OTU609	ASV1047
OTU610	ASV1049, ASV1978, ASV8327, ASV11302
OTU611	ASV1052
OTU612	ASV1053, ASV4172
OTU613	ASV1055, ASV8644
OTU614	ASV1056, ASV1071, ASV2844, ASV4878, ASV10947
OTU615	ASV1059
OTU616	ASV1060, ASV5048, ASV6637
OTU617	ASV1061, ASV1581, ASV2274, ASV4554, ASV11662
OTU618	ASV1063, ASV4555, ASV5150, ASV8992
OTU619	ASV1065
OTU620	ASV1066
OTU621	ASV1068
OTU622	ASV1072, ASV4486, ASV4657, ASV6721, ASV7205, ASV7384, ASV7740, ASV10688, ASV10868, ASV10954
OTU623	ASV1074
OTU624	ASV1077, ASV1466
OTU625	ASV1078
OTU626	ASV1079, ASV2307, ASV3801, ASV4062, ASV4738, ASV5136, ASV5582, ASV6547, ASV7532, ASV8700, ASV9373, ASV9658, ASV10780
OTU627	ASV639, ASV923, ASV1081, ASV1566, ASV2995, ASV3957, ASV4899, ASV5758, ASV8017, ASV10653, ASV11885
OTU628	ASV1085
OTU629	ASV1086, ASV3493, ASV10160, ASV10204
OTU630	ASV1087, ASV1777, ASV6328, ASV11634
OTU631	ASV1090, ASV1825, ASV4977, ASV6369, ASV10603, ASV11934
OTU632	ASV1091, ASV3690, ASV6321, ASV7973
OTU633	ASV1092, ASV2506, ASV10569, ASV11324
OTU634	ASV1093
OTU635	ASV1096, ASV1518, ASV6680
OTU636	ASV1100, ASV5695
OTU637	ASV1102
OTU638	ASV1104, ASV1803, ASV2405, ASV3179, ASV4195, ASV4986, ASV7475, ASV8274
OTU639	ASV1105
OTU640	ASV1106, ASV9406
OTU641	ASV1108, ASV1615
OTU642	ASV1109, ASV10913
OTU643	ASV1110
OTU644	ASV1112
OTU645	ASV1113, ASV1141, ASV3443, ASV8095, ASV10274
OTU646	ASV1114, ASV3211, ASV9445, ASV9617
OTU647	ASV1116, ASV1397, ASV4093, ASV4575, ASV4698, ASV6226, ASV6275, ASV7241, ASV7645, ASV8166, ASV9466, ASV9827, ASV10005
OTU648	ASV1117, ASV1123
OTU649	ASV1118, ASV4701, ASV4987, ASV8823, ASV9230
OTU650	ASV1119, ASV3152
OTU651	ASV1121
OTU652	ASV1122
OTU653	ASV1125
OTU654	ASV1127
OTU655	ASV1128
OTU656	ASV1129, ASV6208, ASV8681, ASV9557, ASV9655
OTU657	ASV1132
OTU658	ASV1133, ASV1157, ASV5594, ASV10927
OTU659	ASV1134, ASV6235, ASV10094
OTU660	ASV1137, ASV2412, ASV6639
OTU661	ASV1140, ASV1834, ASV10691
OTU662	ASV1143, ASV2330, ASV2607, ASV2644, ASV3574, ASV3597, ASV4184, ASV4461
OTU663	ASV1147
OTU664	ASV1149, ASV4522
OTU665	ASV1150, ASV3369
OTU666	ASV1151, ASV5182
OTU667	ASV1153, ASV3049
OTU668	ASV1156, ASV1635, ASV1742, ASV2586, ASV2746, ASV4528, ASV6334, ASV6951, ASV7614, ASV10942, ASV11236
OTU669	ASV1158
OTU670	ASV1159, ASV8522
OTU671	ASV1164
OTU672	ASV1165, ASV2946, ASV3656, ASV9592, ASV11110
OTU673	ASV1167
OTU674	ASV1170, ASV1225, ASV2053, ASV2250, ASV2515, ASV3326, ASV3464, ASV4111, ASV4926, ASV8070, ASV9238, ASV10325, ASV10493
OTU675	ASV1171, ASV3311, ASV5248
OTU676	ASV1177
OTU677	ASV688, ASV1180, ASV2990, ASV5322
OTU678	ASV1181, ASV1431, ASV2104, ASV2173, ASV2695, ASV3003, ASV3673, ASV4040, ASV4086, ASV4327, ASV4904, ASV5728, ASV7007, ASV10053, ASV11094, ASV11099
OTU679	ASV1182, ASV8642
OTU680	ASV1183, ASV2680, ASV10971
OTU681	ASV1185
OTU682	ASV1186
OTU683	ASV1187
OTU684	ASV1189, ASV5070, ASV10720
OTU685	ASV1191, ASV8855
OTU686	ASV1192, ASV7637
OTU687	ASV1194
OTU688	ASV1195
OTU689	ASV1205, ASV3715, ASV6399, ASV10448
OTU690	ASV1206
OTU691	ASV1209
OTU692	ASV1210, ASV5260, ASV5738
OTU693	ASV1212
OTU694	ASV1213, ASV11333
OTU695	ASV1214
OTU696	ASV1215
OTU697	ASV1217
OTU698	ASV1219
OTU699	ASV1223
OTU700	ASV1224
OTU701	ASV1226
OTU702	ASV1228, ASV7444
OTU703	ASV1231, ASV1281, ASV3769, ASV6608
OTU704	ASV1233
OTU705	ASV1234, ASV8250
OTU706	ASV1236
OTU707	ASV1237
OTU708	ASV1239
OTU709	ASV1241, ASV3783, ASV5641, ASV6157, ASV6216, ASV11810
OTU710	ASV1246
OTU711	ASV1249, ASV7116, ASV7206
OTU712	ASV1251, ASV4988
OTU713	ASV1253, ASV7746
OTU714	ASV1254, ASV2172, ASV5032, ASV6971, ASV7008
OTU715	ASV1256, ASV1529, ASV1656
OTU716	ASV1257, ASV4611
OTU717	ASV1258
OTU718	ASV1259
OTU719	ASV1260, ASV1417, ASV3218, ASV3256, ASV8772, ASV9575, ASV9842, ASV11142
OTU720	ASV1261
OTU721	ASV1262
OTU722	ASV1265, ASV1685, ASV10610
OTU723	ASV1268
OTU724	ASV1269, ASV5889
OTU725	ASV1270, ASV3992
OTU726	ASV1275, ASV3219, ASV8509
OTU727	ASV1276
OTU728	ASV1277
OTU729	ASV1278
OTU730	ASV1279
OTU731	ASV1283
OTU732	ASV1284, ASV3335, ASV10096, ASV11318
OTU733	ASV1285, ASV1322
OTU734	ASV1287, ASV4597, ASV10312
OTU735	ASV1290, ASV9769, ASV11670, ASV11808
OTU736	ASV1291, ASV6129
OTU737	ASV1293
OTU738	ASV1294
OTU739	ASV1296, ASV2487, ASV2589, ASV3816, ASV4762, ASV5283, ASV8069, ASV8850, ASV9075, ASV9533
OTU740	ASV1300, ASV1592, ASV3954, ASV4166, ASV7200, ASV7346, ASV7375, ASV9057, ASV10019
OTU741	ASV1301, ASV10034
OTU742	ASV1302, ASV11422
OTU743	ASV1303, ASV2905, ASV7952
OTU744	ASV1305, ASV2228, ASV3676, ASV6402, ASV6698, ASV9009
OTU745	ASV1306, ASV3336, ASV3364, ASV4418, ASV7441, ASV11478
OTU746	ASV1307, ASV2233, ASV3861, ASV4379, ASV5774, ASV6074, ASV6848, ASV9236, ASV9426, ASV9721, ASV9736, ASV10707
OTU747	ASV1308
OTU748	ASV1310
OTU749	ASV1312, ASV4942
OTU750	ASV1314
OTU751	ASV1315
OTU752	ASV1317
OTU753	ASV1318, ASV1745
OTU754	ASV1323
OTU755	ASV1324
OTU756	ASV1327, ASV4125, ASV4725
OTU757	ASV1329
OTU758	ASV1331
OTU759	ASV1332, ASV3450, ASV4290, ASV5115
OTU760	ASV1334, ASV3748, ASV6375
OTU761	ASV1335
OTU762	ASV1341
OTU763	ASV1342, ASV3457, ASV5137
OTU764	ASV1344, ASV5278, ASV7861, ASV8318
OTU765	ASV1345, ASV10557
OTU766	ASV1346
OTU767	ASV1348
OTU768	ASV1349, ASV6538
OTU769	ASV1350
OTU770	ASV1351, ASV1613, ASV10351, ASV11659
OTU771	ASV1352, ASV1689, ASV11938
OTU772	ASV1353
OTU773	ASV1354, ASV1480
OTU774	ASV1357
OTU775	ASV1358, ASV10372
OTU776	ASV1360, ASV9875, ASV10587
OTU777	ASV1361
OTU778	ASV1362, ASV6360, ASV6953
OTU779	ASV1363, ASV5388, ASV9796
OTU780	ASV1364
OTU781	ASV1366, ASV2856
OTU782	ASV1369, ASV7912, ASV11303
